index,timestamp,customer_no,location,weekday,time,minute,abs_minute,first_section
0,2019-09-02 07:03:00,1,dairy,0,7,3,423,1
1,2019-09-02 07:03:00,2,dairy,0,7,3,423,1
2,2019-09-02 07:04:00,3,dairy,0,7,4,424,1
3,2019-09-02 07:04:00,4,dairy,0,7,4,424,1
4,2019-09-02 07:04:00,5,spices,0,7,4,424,1
5,2019-09-02 07:04:00,6,spices,0,7,4,424,1
6,2019-09-02 07:04:00,7,spices,0,7,4,424,1
7,2019-09-02 07:04:00,8,fruit,0,7,4,424,1
8,2019-09-02 07:05:00,1,checkout,0,7,5,425,0
9,2019-09-02 07:05:00,5,checkout,0,7,5,425,0
10,2019-09-02 07:05:00,6,dairy,0,7,5,425,0
11,2019-09-02 07:05:00,7,drinks,0,7,5,425,0
12,2019-09-02 07:06:00,2,checkout,0,7,6,426,0
13,2019-09-02 07:06:00,3,checkout,0,7,6,426,0
14,2019-09-02 07:06:00,9,dairy,0,7,6,426,1
15,2019-09-02 07:06:00,10,fruit,0,7,6,426,1
16,2019-09-02 07:06:00,11,drinks,0,7,6,426,1
17,2019-09-02 07:06:00,12,spices,0,7,6,426,1
18,2019-09-02 07:06:00,13,dairy,0,7,6,426,1
19,2019-09-02 07:06:00,14,fruit,0,7,6,426,1
20,2019-09-02 07:07:00,8,checkout,0,7,7,427,0
21,2019-09-02 07:07:00,12,drinks,0,7,7,427,0
22,2019-09-02 07:07:00,15,spices,0,7,7,427,1
23,2019-09-02 07:07:00,16,dairy,0,7,7,427,1
24,2019-09-02 07:08:00,4,checkout,0,7,8,428,0
25,2019-09-02 07:08:00,10,checkout,0,7,8,428,0
26,2019-09-02 07:08:00,11,checkout,0,7,8,428,0
27,2019-09-02 07:08:00,15,fruit,0,7,8,428,0
28,2019-09-02 07:09:00,7,spices,0,7,9,429,0
29,2019-09-02 07:09:00,14,checkout,0,7,9,429,0
30,2019-09-02 07:09:00,16,spices,0,7,9,429,0
31,2019-09-02 07:10:00,12,checkout,0,7,10,430,0
32,2019-09-02 07:11:00,7,fruit,0,7,11,431,0
33,2019-09-02 07:11:00,16,checkout,0,7,11,431,0
34,2019-09-02 07:11:00,17,fruit,0,7,11,431,1
35,2019-09-02 07:12:00,9,fruit,0,7,12,432,0
36,2019-09-02 07:12:00,15,checkout,0,7,12,432,0
37,2019-09-02 07:12:00,18,fruit,0,7,12,432,1
38,2019-09-02 07:12:00,19,spices,0,7,12,432,1
39,2019-09-02 07:12:00,20,drinks,0,7,12,432,1
40,2019-09-02 07:13:00,7,checkout,0,7,13,433,0
41,2019-09-02 07:13:00,9,checkout,0,7,13,433,0
42,2019-09-02 07:13:00,13,spices,0,7,13,433,0
43,2019-09-02 07:13:00,19,drinks,0,7,13,433,0
44,2019-09-02 07:13:00,21,drinks,0,7,13,433,1
45,2019-09-02 07:13:00,22,fruit,0,7,13,433,1
46,2019-09-02 07:14:00,13,dairy,0,7,14,434,0
47,2019-09-02 07:14:00,18,dairy,0,7,14,434,0
48,2019-09-02 07:14:00,20,checkout,0,7,14,434,0
49,2019-09-02 07:14:00,23,fruit,0,7,14,434,1
50,2019-09-02 07:14:00,24,drinks,0,7,14,434,1
51,2019-09-02 07:15:00,13,fruit,0,7,15,435,0
52,2019-09-02 07:15:00,21,spices,0,7,15,435,0
53,2019-09-02 07:15:00,22,dairy,0,7,15,435,0
54,2019-09-02 07:15:00,23,checkout,0,7,15,435,0
55,2019-09-02 07:16:00,13,checkout,0,7,16,436,0
56,2019-09-02 07:16:00,21,checkout,0,7,16,436,0
57,2019-09-02 07:16:00,25,spices,0,7,16,436,1
58,2019-09-02 07:16:00,26,fruit,0,7,16,436,1
59,2019-09-02 07:16:00,27,spices,0,7,16,436,1
60,2019-09-02 07:16:00,28,drinks,0,7,16,436,1
61,2019-09-02 07:16:00,29,drinks,0,7,16,436,1
62,2019-09-02 07:17:00,6,spices,0,7,17,437,0
63,2019-09-02 07:17:00,18,checkout,0,7,17,437,0
64,2019-09-02 07:17:00,22,checkout,0,7,17,437,0
65,2019-09-02 07:17:00,25,dairy,0,7,17,437,0
66,2019-09-02 07:17:00,30,spices,0,7,17,437,1
67,2019-09-02 07:17:00,31,spices,0,7,17,437,1
68,2019-09-02 07:17:00,32,drinks,0,7,17,437,1
69,2019-09-02 07:17:00,33,fruit,0,7,17,437,1
70,2019-09-02 07:17:00,34,spices,0,7,17,437,1
71,2019-09-02 07:18:00,6,drinks,0,7,18,438,0
72,2019-09-02 07:18:00,25,spices,0,7,18,438,0
73,2019-09-02 07:18:00,29,checkout,0,7,18,438,0
74,2019-09-02 07:18:00,30,drinks,0,7,18,438,0
75,2019-09-02 07:18:00,31,checkout,0,7,18,438,0
76,2019-09-02 07:18:00,34,drinks,0,7,18,438,0
77,2019-09-02 07:18:00,35,dairy,0,7,18,438,1
78,2019-09-02 07:19:00,25,drinks,0,7,19,439,0
79,2019-09-02 07:19:00,27,dairy,0,7,19,439,0
80,2019-09-02 07:19:00,28,checkout,0,7,19,439,0
81,2019-09-02 07:19:00,30,fruit,0,7,19,439,0
82,2019-09-02 07:19:00,35,drinks,0,7,19,439,0
83,2019-09-02 07:20:00,19,checkout,0,7,20,440,0
84,2019-09-02 07:20:00,24,checkout,0,7,20,440,0
85,2019-09-02 07:20:00,26,dairy,0,7,20,440,0
86,2019-09-02 07:20:00,30,dairy,0,7,20,440,0
87,2019-09-02 07:20:00,32,checkout,0,7,20,440,0
88,2019-09-02 07:20:00,33,dairy,0,7,20,440,0
